Date,Open,High,Low,Close,Volume
4/01/2022,174.24,174.24,154,155.22,390884
5/01/2022,154.12,155.59,149.8,151.35,253064
6/01/2022,149.88,152.47,145.67,148.75,212593
7/01/2022,148.74,149.82,142.5,144.62,271764
10/01/2022,140.51,143.42,135.02,143.39,259446
11/01/2022,138.82,146.64,137.5,145.68,251864
12/01/2022,148.75,148.9,144.9,146.19,252777
13/01/2022,146.9,146.9,132.99,133.31,281942
14/01/2022,131.28,139.45,131.28,138.21,227643
17/01/2022,137.86,139.73,134.53,138.96,74147
18/01/2022,135.47,136.11,129.17,132.1,282511
19/01/2022,133.44,139.9,128.71,128.98,283633
20/01/2022,131.2,135.02,127.92,128.22,159020
21/01/2022,125.21,126.91,109.18,111.04,431147
24/01/2022,104.24,121.68,99,118.85,541728
25/01/2022,114.88,118.13,106.79,112.98,375948
26/01/2022,117.24,119.26,108.14,110.12,432728
27/01/2022,114.67,114.67,103.59,104,280620
28/01/2022,105.18,111.63,101.37,111.4,285343
31/01/2022,112.31,123.09,111.77,122.7,413499
1/02/2022,125.3,125.5,119.3,124.76,282827
2/02/2022,125.02,125.02,109.8,112.24,417376
3/02/2022,105,108.45,102.27,102.77,415504
4/02/2022,106.7,113.81,103.63,111.82,272224
7/02/2022,112.14,115.27,108.5,109.64,197435
8/02/2022,109.17,111.86,108.63,111.56,208025
9/02/2022,115.3,117.35,112.4,117.02,213335
10/02/2022,113.65,117.87,112.63,113.51,208117
11/02/2022,113.26,114.9,106.47,108.96,320948
14/02/2022,108.19,110.92,106.51,107.9,206561
15/02/2022,110.99,113.43,107.6,113.26,187315
16/02/2022,101.7,101.7,91.4,93.89,706787
17/02/2022,92.51,92.99,83.19,83.71,392455
18/02/2022,83.98,87.07,81.53,83.7,407675
22/02/2022,81.02,84.19,79.8,80.08,352410
23/02/2022,81.3,83.77,79.7,79.92,316176
24/02/2022,75.2,85.52,75.2,85.06,356812
25/02/2022,86.49,87.5,82.11,86,371727
28/02/2022,86.35,89.04,84.86,87.99,373907
1/03/2022,87.48,90.02,85.5,85.83,268228
2/03/2022,86.21,86.21,80.73,83.39,291382
3/03/2022,84.02,84.5,80.1,81.28,163684
4/03/2022,81.3,82.93,75.39,76.47,253978
7/03/2022,76.44,77.28,71.23,71.86,267093
8/03/2022,70.89,71.1,65.87,66.39,549755
9/03/2022,69.71,76.15,68.56,75.41,371733
10/03/2022,73.2,73.22,69.74,70.71,281528
11/03/2022,72.6,73.5,69.15,69.4,394507
14/03/2022,69.62,70.45,65.47,65.71,267484
15/03/2022,66.66,71.85,65.75,70.7,224754
16/03/2022,73.56,79.19,71.93,78.92,396377
17/03/2022,77.99,83.15,76.73,82.85,294545
18/03/2022,81.97,87.3,81.73,85.97,944035
21/03/2022,88.35,89.5,82.34,86.06,291797
22/03/2022,86.42,92.22,84.39,91.25,473054
23/03/2022,90.1,92.78,87.6,88.44,495790
24/03/2022,89.27,89.27,85.45,88.26,199720
25/03/2022,87.76,88.22,83.2,84.67,166830
28/03/2022,85.59,90,84.3,87.87,225266
29/03/2022,90,94.73,87.9,92.96,292486
30/03/2022,91,91.74,86.5,87.96,271942
31/03/2022,88.6,88.9,84.45,84.55,262142
1/04/2022,86.4,89.6,84.94,86.57,224772
4/04/2022,87.01,91.25,86.35,90.78,200096
5/04/2022,90.5,91.9,86.3,87.85,238473
6/04/2022,85.46,85.65,79.82,82.24,329378
7/04/2022,82.6,84.08,78.2,81.11,218212
8/04/2022,80.92,80.92,75.5,75.8,263771
11/04/2022,77.5,79.32,75,78,364625
12/04/2022,79.73,81.05,74.62,74.72,295784
13/04/2022,74.73,78.24,73.47,75.92,222475
14/04/2022,75.74,76.21,73.06,73.19,190502
18/04/2022,72.83,74,70.14,73.34,186694
19/04/2022,73.12,77.52,72.69,76.46,194544
20/04/2022,74.6,74.6,65.68,65.81,518012
21/04/2022,67.25,67.25,59.45,60.46,516449
22/04/2022,60.83,62.4,57.75,58.51,398842
25/04/2022,59.38,60.67,57.71,58.42,426172
26/04/2022,57.96,58.55,54.82,54.91,327676
27/04/2022,54.33,56.35,53.1,53.36,414047
