Date,Open,High,Low,Close,Adj Close,Volume
2022-07-25,295.000000,296.320007,289.809998,291.000000,287.685669,599426
2022-07-26,289.769989,290.000000,285.220001,286.750000,283.484070,519181
2022-07-27,288.179993,293.299988,287.019989,291.829987,288.506195,440959
2022-07-28,293.709991,294.190002,289.149994,291.399994,288.081085,647711
2022-07-29,294.010010,295.290009,289.839996,289.839996,286.538849,1141755
2022-08-01,288.649994,295.480011,288.649994,294.910004,291.551117,629744
2022-08-02,295.209991,297.980011,293.440002,296.850006,293.469055,566982
2022-08-03,298.459991,298.589996,295.220001,296.750000,293.370148,518829
2022-08-04,297.019989,297.799988,293.929993,294.589996,291.234772,745713
2022-08-05,294.179993,297.660004,291.290009,296.750000,293.370148,636130
2022-08-08,292.899994,298.250000,292.179993,295.640015,292.272827,446484
2022-08-09,296.989990,298.489990,294.570007,296.970001,293.587677,466382
2022-08-10,296.079987,296.570007,291.339996,292.350006,289.020294,612205
2022-08-11,297.000000,297.000000,291.700012,295.100006,291.738983,534994
2022-08-12,291.720001,294.000000,290.459991,292.850006,289.514587,658843
2022-08-15,292.369995,294.760010,290.769989,293.239990,289.900146,419980
2022-08-16,294.950012,298.380005,293.000000,296.399994,293.024139,811421
2022-08-17,282.269989,293.160004,278.890015,292.500000,289.168549,1410100
2022-08-18,292.600006,301.549988,291.950012,299.200012,295.792267,1129577
2022-08-19,299.149994,299.149994,293.760010,294.670013,291.313873,1213520
2022-08-22,295.019989,297.690002,293.369995,295.630005,292.262939,614134
2022-08-23,293.549988,294.529999,289.000000,289.799988,286.499298,601703
2022-08-24,288.140015,290.529999,286.019989,288.630005,285.342682,597928
2022-08-25,287.829987,290.489990,285.880005,289.820007,286.519104,498024
2022-08-26,289.010010,297.434998,289.010010,295.500000,292.134399,880639
2022-08-29,292.209991,296.000000,292.140015,294.239990,290.888733,576469
2022-08-30,293.329987,295.549988,290.869995,293.899994,290.552612,764086
2022-08-31,294.850006,295.649994,292.464996,293.540009,290.196716,687419
2022-09-01,291.000000,294.829987,289.739990,293.790009,290.443909,1050116
2022-09-02,295.399994,297.459991,293.850006,295.989990,292.618805,722506
2022-09-05,296.000000,296.540009,293.809998,294.799988,291.442352,492215
2022-09-06,294.420013,296.089996,293.399994,294.000000,292.395447,854340
2022-09-07,292.079987,293.910004,291.000000,293.410004,291.808685,819143
2022-09-08,295.690002,299.640015,295.089996,299.609985,297.974823,1380469
2022-09-09,299.809998,301.320007,297.089996,298.640015,297.010132,785888
2022-09-12,299.149994,299.890015,296.079987,296.299988,294.682892,458311
2022-09-13,293.959991,296.859985,293.019989,295.100006,293.489471,486003
2022-09-14,288.049988,291.000000,285.570007,289.630005,288.049316,755335
2022-09-15,288.049988,290.529999,286.390015,287.609985,286.040314,825555
2022-09-16,288.920013,289.350006,285.519989,285.829987,284.270020,1638262
2022-09-19,285.049988,286.119995,282.510010,282.980011,281.435608,448478
2022-09-20,284.019989,285.470001,281.239990,283.029999,281.485321,659731
2022-09-21,282.000000,283.989990,280.230011,281.140015,279.605652,529054
2022-09-23,279.200012,280.839996,276.000000,278.140015,276.622040,884747
2022-09-26,277.000000,287.970001,276.820007,284.809998,283.255615,1016680
2022-09-27,286.420013,287.559998,282.290009,284.640015,283.086548,871383
2022-09-28,279.109985,282.859985,278.010010,282.350006,280.809052,732918
2022-09-29,283.200012,288.619995,282.820007,286.739990,285.175079,867237
2022-09-30,285.000000,286.940002,282.980011,285.019989,283.464447,1194926
2022-10-03,284.839996,285.839996,281.970001,283.260010,281.714081,382109
2022-10-04,288.299988,288.980011,286.320007,287.399994,285.831482,653041
2022-10-05,289.549988,291.480011,289.119995,290.500000,288.914551,909313
2022-10-06,290.600006,291.720001,289.489990,290.200012,288.616211,640615
2022-10-07,288.779999,291.649994,288.779999,288.850006,287.273560,507958
2022-10-10,284.049988,285.329987,282.980011,283.220001,281.674286,488119
2022-10-11,283.510010,286.829987,282.040009,282.859985,281.316223,558933
2022-10-12,282.279999,283.500000,279.109985,279.700012,278.173523,787692
2022-10-13,278.390015,278.850006,275.029999,276.429993,274.921326,787646
2022-10-14,279.549988,281.989990,279.019989,280.429993,278.899506,658001
2022-10-17,274.000000,278.000000,272.380005,276.829987,275.319153,927231
2022-10-18,279.980011,281.500000,275.559998,275.700012,274.195343,653902
2022-10-19,274.359985,278.690002,274.000000,276.959991,275.448456,566994
2022-10-20,274.010010,275.000000,270.500000,271.640015,270.157501,948137
2022-10-21,269.859985,270.850006,267.239990,267.500000,266.040070,999709
2022-10-24,270.070007,274.200012,270.070007,273.049988,271.559784,473216
2022-10-25,276.279999,278.649994,275.720001,276.000000,274.493683,553552
2022-10-26,276.209991,277.100006,272.320007,275.309998,273.807465,484451
2022-10-27,275.890015,277.934998,273.769989,275.950012,274.443970,488610
2022-10-28,273.970001,275.950012,273.019989,274.250000,272.753235,416077
2022-10-31,278.600006,280.980011,275.880005,280.480011,278.949249,722256
2022-11-01,280.679993,283.260010,277.500000,283.260010,281.714081,592060
2022-11-02,285.399994,285.440002,281.100006,282.709991,281.167053,601870
2022-11-03,280.399994,280.859985,276.250000,278.339996,276.820923,482415
2022-11-04,278.059998,280.929993,273.540009,275.600006,274.095886,689880
2022-11-07,273.500000,277.250000,273.500000,277.160004,275.647369,332587
2022-11-08,277.799988,281.970001,276.630005,280.700012,279.168060,467663
2022-11-09,281.190002,284.250000,279.230011,279.609985,278.083984,534611
2022-11-10,284.970001,284.980011,282.119995,282.730011,281.186981,611770
2022-11-11,286.859985,293.970001,285.000000,292.290009,290.694794,1261984
2022-11-14,288.790009,291.700012,285.920013,286.549988,284.986115,632082
2022-11-15,286.429993,291.470001,285.920013,290.750000,289.163177,712941
2022-11-16,288.920013,290.779999,285.059998,289.399994,287.820557,709363
2022-11-17,291.489990,293.470001,290.220001,293.329987,291.729095,715264
2022-11-18,293.339996,294.450012,291.625000,294.399994,292.793274,706749
2022-11-21,296.600006,298.880005,295.279999,296.959991,295.339294,586635
2022-11-22,298.359985,299.000000,296.459991,297.320007,295.697327,462016
2022-11-23,300.000000,301.380005,296.910004,297.700012,296.075287,510644
2022-11-24,298.299988,300.049988,297.200012,299.000000,297.368164,497678
2022-11-25,300.149994,301.420013,299.079987,299.720001,298.084229,431447
2022-11-28,299.799988,301.000000,297.609985,300.339996,298.700836,427444
2022-11-29,300.029999,304.700012,298.000000,302.579987,300.928619,614839
2022-11-30,300.200012,301.760010,298.200012,300.109985,298.472107,1539048
2022-12-01,302.130005,302.489990,297.924988,298.660004,297.030029,947058
2022-12-02,300.950012,303.500000,299.700012,301.890015,300.242401,898983
2022-12-05,299.510010,301.470001,297.500000,300.000000,298.362701,400815
2022-12-06,301.190002,302.880005,299.540009,300.790009,299.148407,584077
2022-12-07,298.000000,302.380005,297.519989,299.190002,297.557129,878535
2022-12-08,300.380005,300.549988,296.839996,297.500000,295.876343,432301
2022-12-09,298.579987,299.829987,297.010010,298.459991,296.831116,560564
2022-12-12,295.519989,298.200012,295.019989,298.200012,296.572540,481412
2022-12-13,298.230011,299.000000,294.309998,297.040009,295.418884,650889
2022-12-14,298.010010,300.350006,296.119995,299.309998,297.676483,582951
2022-12-15,294.920013,299.239990,294.750000,297.170013,295.548157,819723
2022-12-16,293.010010,294.589996,290.829987,291.679993,290.088104,1280280
2022-12-19,289.649994,290.265015,286.410004,288.410004,286.835968,446559
2022-12-20,288.029999,289.329987,283.529999,285.920013,284.359558,670861
2022-12-21,285.790009,287.899994,283.500000,287.299988,285.731995,699722
2022-12-22,288.299988,290.769989,287.160004,290.769989,289.183075,492089
2022-12-23,291.309998,293.000000,287.640015,289.000000,287.422729,442032
2022-12-28,286.500000,288.190002,284.119995,285.570007,284.011475,377295
2022-12-29,285.369995,286.899994,284.250000,285.700012,284.140778,386665
2022-12-30,287.429993,288.279999,286.640015,287.760010,286.189514,435933
2023-01-03,287.799988,288.220001,280.549988,281.750000,280.212311,493499
2023-01-04,282.119995,284.609985,280.709991,284.000000,282.450043,694196
2023-01-05,284.369995,284.989990,280.500000,280.510010,278.979095,707606
2023-01-06,278.049988,279.359985,275.540009,278.279999,276.761261,919963
2023-01-09,277.299988,278.720001,275.109985,277.000000,275.488220,718650
2023-01-10,275.000000,276.950012,273.399994,275.630005,274.125702,697781
2023-01-11,276.220001,278.619995,274.910004,278.070007,276.552399,641204
2023-01-12,280.000000,283.670013,279.579987,281.410004,279.874176,709906
2023-01-13,283.350006,284.220001,281.795013,282.980011,281.435608,608968
2023-01-16,283.489990,287.809998,282.290009,286.920013,285.354095,488728
2023-01-17,288.829987,293.204987,288.420013,290.559998,288.974213,842379
2023-01-18,292.989990,293.989990,291.350006,292.829987,291.231812,652073
2023-01-19,296.000000,296.000000,291.089996,295.250000,293.638641,536488
2023-01-20,295.000000,299.019989,293.640015,299.019989,297.388031,1142920
2023-01-23,299.000000,299.799988,297.040009,298.369995,296.741608,609175
2023-01-24,296.320007,298.209991,293.929993,297.809998,296.184662,502107
2023-01-25,297.200012,297.200012,293.750000,296.119995,294.503876,522334
2023-01-27,291.250000,294.929993,290.769989,294.700012,293.091644,861724
2023-01-30,294.540009,296.250000,292.549988,293.000000,291.400909,449129
2023-01-31,294.940002,298.079987,294.220001,298.079987,296.453186,662104
2023-02-01,299.429993,302.000000,297.410004,301.519989,299.874390,950605
2023-02-02,304.739990,304.980011,302.230011,304.579987,302.917694,732284
2023-02-03,307.890015,314.279999,307.029999,313.809998,312.097321,1224269
2023-02-06,313.380005,314.209991,310.709991,311.920013,310.217651,609370
2023-02-07,312.500000,312.700012,307.489990,308.070007,306.388672,647011
2023-02-08,307.350006,307.450012,303.989990,306.200012,304.528870,505500
2023-02-09,305.500000,309.424988,305.200012,305.239990,303.574097,460135
2023-02-10,305.000000,305.790009,302.380005,304.959991,303.295624,564197
2023-02-13,303.339996,305.160004,302.529999,305.010010,303.345367,416429
2023-02-14,306.399994,310.980011,304.049988,307.750000,306.070404,821357
2023-02-15,303.500000,310.299988,303.010010,304.910004,303.245911,842880
2023-02-16,303.760010,307.000000,301.600006,302.989990,301.336395,1338899
2023-02-17,301.670013,301.980011,296.859985,298.399994,296.771423,1197851
2023-02-20,300.000000,300.380005,297.630005,298.399994,296.771423,451189
2023-02-21,296.769989,298.640015,296.000000,298.440002,296.811218,518805
2023-02-22,296.429993,297.399994,294.140015,295.700012,294.086182,533069
2023-02-23,296.059998,299.880005,295.000000,298.730011,297.099640,651465
2023-02-24,296.350006,299.880005,295.100006,299.480011,297.845551,717759
2023-02-27,298.239990,299.000000,294.920013,297.790009,296.164764,782638
2023-02-28,299.000000,299.230011,296.070007,296.299988,294.682892,934398
2023-03-01,294.100006,295.959991,292.790009,292.850006,291.251740,662274
2023-03-02,293.950012,293.989990,290.059998,291.799988,290.207458,1222555
2023-03-03,293.239990,294.924988,292.130005,293.019989,291.420776,613395
2023-03-06,293.510010,294.950012,292.649994,294.500000,292.892731,498006
