Date,Open,High,Low,Close,Adj Close,Volume
2022-07-25,47.509998,47.529999,46.680000,46.919998,45.145119,1684996
2022-07-26,46.389999,46.400002,45.740002,45.950001,44.211815,1513593
2022-07-27,45.900002,46.459999,45.520000,46.360001,44.606304,1700007
2022-07-28,46.910000,46.919998,46.209999,46.299999,44.548576,1249420
2022-07-29,46.599998,46.880001,46.470001,46.630001,44.866093,1896427
2022-08-01,46.590000,46.974998,46.220001,46.750000,44.981552,1963566
2022-08-02,46.849998,47.590000,46.610001,47.570000,45.770531,1503797
2022-08-03,47.150002,47.240002,46.549999,47.049999,45.270203,1629520
2022-08-04,47.580002,47.810001,46.959999,47.000000,45.222095,1319580
2022-08-05,47.200001,47.700001,47.110001,47.700001,45.895618,947385
2022-08-08,47.410000,47.470001,46.689999,46.750000,44.981552,1202724
2022-08-09,46.849998,47.630001,46.849998,47.570000,45.770531,1324474
2022-08-10,47.020000,47.500000,46.849998,47.040001,45.260582,1333817
2022-08-11,47.400002,48.049999,47.389999,48.049999,46.232372,1076575
2022-08-12,47.270000,47.419998,46.959999,47.240002,45.453018,1429106
2022-08-15,47.400002,47.779999,47.279999,47.759998,45.953342,828130
2022-08-16,48.000000,48.450001,47.735001,47.900002,46.088051,1247063
2022-08-17,48.220001,49.270000,48.200001,48.970001,47.117573,2036297
2022-08-18,48.759998,49.169998,48.250000,48.560001,46.723083,2006020
2022-08-19,48.500000,48.980000,48.349998,48.919998,47.069462,1875468
2022-08-22,48.619999,48.619999,48.070000,48.169998,46.347836,1136532
2022-08-23,47.529999,47.834999,47.180000,47.279999,45.491501,1614703
2022-08-24,47.060001,47.529999,47.009998,47.279999,45.491501,1536330
2022-08-25,47.680000,47.689999,47.009998,47.639999,45.837883,1950919
2022-08-26,48.200001,48.930000,46.700001,47.950001,46.136158,2713984
2022-08-29,47.340000,48.439999,47.270000,47.400002,45.606964,2030053
2022-08-30,47.459999,47.900002,47.419998,47.700001,45.895618,1964455
2022-08-31,46.650002,47.160000,46.200001,47.009998,46.200275,2554227
2022-09-01,46.330002,46.919998,46.150002,46.689999,45.885788,2553919
2022-09-02,47.270000,47.270000,46.529999,46.709999,45.905441,1560713
2022-09-05,46.680000,46.820000,46.150002,46.389999,45.590954,1391029
2022-09-06,46.820000,46.900002,45.900002,46.020000,45.227329,1686286
2022-09-07,45.700001,45.869999,45.000000,45.720001,44.932499,2103318
2022-09-08,46.160000,46.970001,46.160000,46.970001,46.160969,2033821
2022-09-09,46.799999,47.480000,46.610001,47.279999,46.465626,2213001
2022-09-12,47.560001,47.869999,47.259998,47.820000,46.996326,1155501
2022-09-13,48.049999,48.650002,47.830002,48.509998,47.674438,1708765
2022-09-14,47.459999,47.500000,46.310001,46.450001,45.649921,2257233
2022-09-15,46.450001,46.660000,46.000000,46.139999,45.345261,2068950
2022-09-16,46.009998,46.099998,44.900002,45.020000,44.244553,4784004
2022-09-19,45.099998,45.840000,44.970001,45.439999,44.657318,1636779
2022-09-20,45.799999,46.110001,45.500000,46.040001,45.246986,1549190
2022-09-21,45.770000,45.910000,45.000000,45.169998,44.391968,1314556
2022-09-23,44.209999,44.209999,43.119999,43.279999,42.534523,2100635
2022-09-26,42.959999,44.299999,42.930000,44.060001,43.301090,1794980
2022-09-27,43.830002,44.299999,43.720001,44.029999,43.271603,2075246
2022-09-28,43.380001,43.799999,42.965000,43.150002,42.406765,2398122
2022-09-29,43.900002,44.419998,43.849998,44.020000,43.261780,1604715
2022-09-30,43.400002,43.689999,42.610001,42.720001,41.984173,2740718
2022-10-03,42.889999,43.220001,42.430000,42.799999,42.062790,994160
2022-10-04,43.299999,44.660000,43.259998,44.400002,43.635235,1851839
2022-10-05,44.900002,45.695000,44.810001,45.430000,44.647491,3385851
2022-10-06,45.270000,45.410000,44.970001,45.040001,44.264210,1687555
2022-10-07,44.400002,44.959999,44.330002,44.599998,43.831787,1444188
2022-10-10,43.970001,44.395000,43.630001,44.139999,43.379711,1233168
2022-10-11,44.340000,44.680000,43.959999,44.020000,43.261780,1340071
2022-10-12,43.950001,44.630001,43.930000,44.130001,43.369884,1513297
2022-10-13,44.009998,44.509998,44.009998,44.110001,43.350227,1620845
2022-10-14,44.520000,45.099998,44.520000,44.869999,44.097137,1403818
2022-10-17,44.400002,44.639999,44.070000,44.349998,43.586094,1551986
2022-10-18,44.639999,45.150002,44.535000,44.900002,44.126621,1611962
2022-10-19,45.180000,45.439999,44.680000,44.680000,43.910412,1225130
2022-10-20,44.110001,44.380001,43.619999,44.340000,43.576267,2379001
2022-10-21,44.029999,44.130001,43.290001,43.290001,42.544353,1874592
2022-10-24,44.200001,44.480000,43.990002,44.180000,43.419022,1092782
2022-10-25,44.369999,44.650002,44.250000,44.590000,43.821960,1189816
2022-10-26,44.840000,45.110001,44.250000,44.380001,43.615578,1863663
2022-10-27,44.630001,45.560001,44.230000,44.540001,43.772823,1806913
2022-10-28,44.299999,44.650002,43.779999,44.040001,43.281433,1636031
2022-10-31,44.790001,45.459999,44.610001,45.459999,44.676975,1953922
2022-11-01,45.540001,46.099998,45.160000,46.090000,45.296124,1803017
2022-11-02,46.169998,47.029999,45.959999,46.799999,45.993893,2571318
2022-11-03,45.619999,45.750000,45.029999,45.029999,44.254379,1656201
2022-11-04,45.000000,45.310001,44.799999,45.230000,44.450935,1190537
2022-11-07,45.369999,45.930000,45.259998,45.779999,44.991463,1264162
2022-11-08,46.070000,46.500000,46.029999,46.419998,45.620438,1241887
2022-11-09,46.709999,46.790001,46.119999,46.240002,45.443542,1625233
2022-11-10,45.820000,46.349998,45.650002,46.220001,45.423885,1387430
2022-11-11,47.950001,48.360001,47.060001,47.820000,46.996326,3157419
2022-11-14,47.799999,47.799999,46.709999,46.820000,46.013550,1762528
2022-11-15,46.860001,47.099998,46.500000,46.700001,45.895618,1424077
2022-11-16,46.599998,46.750000,46.310001,46.490002,45.689236,1487559
